Waterfall Test
Input [dBm]	11B_1M	11B_11M	11G_6M	11G_54M	11N_MCS0_LGI	11N_MCS7_LGI	11AX_MCS0_LGI	11AX_MCS7_LGI	11AX_MCS8_LGI	11AX_MCS9_LGI

[data]
-100	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-98	98.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-97	54.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-96	11.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-95	1.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-94	0.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-93	1.40	100.00	91.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-92	0.20	100.00	54.60	100.00	94.00	100.00	99.40	100.00	100.00	100.00
-91	0.20	100.00	33.00	100.00	55.20	100.00	80.40	100.00	100.00	100.00
-90	0.20	100.00	17.00	100.00	19.00	100.00	35.80	100.00	100.00	100.00
-89	0.20	100.00	4.60	100.00	8.00	100.00	15.80	100.00	100.00	100.00
-88	0.00	92.00	2.20	100.00	4.20	100.00	6.20	100.00	100.00	100.00
-87	0.00	54.40	1.00	100.00	1.40	100.00	0.80	100.00	100.00	100.00
-86	0.00	20.40	0.40	100.00	0.20	100.00	1.40	100.00	100.00	100.00
-85	0.00	7.60	0.20	100.00	0.60	100.00	0.40	100.00	100.00	100.00
-84	0.00	1.20	0.00	100.00	0.20	100.00	0.20	100.00	100.00	100.00
-83	0.00	0.00	0.20	100.00	0.20	100.00	0.40	100.00	100.00	100.00
-82	0.00	0.80	0.00	100.00	0.20	100.00	0.20	100.00	100.00	100.00
-81	0.00	0.00	0.00	100.00	0.00	100.00	0.60	100.00	100.00	100.00
-80	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-79	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-78	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-77	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-76	0.00	0.00	0.20	99.80	0.00	100.00	0.00	100.00	100.00	100.00
-75	0.00	0.00	0.00	87.60	0.00	100.00	0.00	100.00	100.00	100.00
-74	0.00	0.00	0.00	40.40	0.00	100.00	0.00	100.00	100.00	100.00
-73	0.00	0.00	0.00	7.80	0.00	100.00	0.00	100.00	100.00	100.00
-72	0.00	0.00	0.00	2.20	0.00	96.40	0.00	95.00	100.00	100.00
-71	0.00	0.00	0.00	0.20	0.00	58.60	0.00	41.20	100.00	100.00
-70	0.00	0.00	0.00	0.00	0.00	17.80	0.00	11.60	100.00	100.00
-69	0.00	0.20	0.00	0.00	0.00	4.40	0.00	1.80	100.00	100.00
-68	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	86.80	100.00
-67	0.00	0.00	0.00	2.60	0.00	0.00	0.00	0.00	44.00	99.80
-66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	90.00
-65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	53.60
-64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	33.20
-63	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.20	9.40
-62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80
-61	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.00
-60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60
-59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00
-45	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	9.60
-44	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.60	10.00
-43	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.60
-42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	7.20
-41	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.20	5.60
-40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	3.80
-39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-38	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.20
-37	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.60
-36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
-35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60
-34	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.20
-33	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	3.60
-32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40
-31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00
-30	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	5.80
-29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.80
-28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.80
-27	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	5.40
-26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.20
-25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.40
-24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20
-23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	4.80
-22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.60
-21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00
-20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00
-19	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	8.40
-18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	1.80
-17	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.80
-16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.40
-15	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
-14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60
-13	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00
-12	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.40
-11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
-10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-7	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00
-6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-5	0.00	0.00	0.20	0.00	0.00	0.00	0.40	0.00	0.20	2.00
-4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
