Minimum Input Sensitivity[dBm]
STD_WFM	Spec. [dBm]	CH1_2412 MHz [dBm]	CH2_2417 MHz [dBm]	CH3_2422 MHz [dBm]	CH4_2427 MHz [dBm]	CH5_2432 MHz [dBm]	CH6_2437 MHz [dBm]	CH7_2442 MHz [dBm]	CH8_2447 MHz [dBm]	CH9_2452 MHz [dBm]	CH10_2457 MHz [dBm]	CH11_2462 MHz [dBm]	CH12_2467 MHz [dBm]	CH13_2472 MHz [dBm]	CH14_2484 MHz [dBm]	PER [%]

[data]
11B_1M	-80.00	-95.45	-95.70	-95.40	-96.10	-96.95	-96.20	-96.20	-96.85	-96.40	-96.45	-96.25	-96.15	-97.20	-96.25	7.20	7.80	7.60	7.20	7.00	6.60	5.60	6.00	5.60	7.60	5.60	6.40	6.80	7.80
11B_11M	-76.00	-84.55	-85.15	-85.00	-85.10	-85.60	-82.45	-84.20	-85.80	-86.00	-86.10	-85.75	-85.65	-86.00	-84.35	5.20	7.00	6.80	6.80	7.40	6.40	5.20	5.80	7.40	7.20	5.60	5.40	6.40	3.60
11G_6M	-82.00	-89.40	-89.30	-89.40	-90.00	-90.10	-89.05	-89.50	-89.95	-90.00	-89.85	-90.40	-90.35	-90.25	-88.20	9.60	9.00	8.20	9.00	8.60	9.60	9.40	7.60	8.60	9.00	9.60	9.20	9.60	9.80
11G_54M	-65.00	-72.75	-72.60	-73.15	-73.65	-73.90	-73.85	-74.00	-73.85	-73.85	-73.95	-74.10	-74.05	-73.75	-74.00	9.80	7.00	9.20	9.20	9.60	9.80	9.20	8.00	9.40	9.20	7.80	8.40	6.80	9.60
11N_MCS0_LGI	-82.00	-88.80	-88.85	-89.20	-89.35	-89.90	-88.70	-89.10	-89.75	-89.80	-90.00	-90.05	-89.95	-89.75	-88.10	9.00	8.40	8.80	7.00	7.20	9.20	9.40	7.60	9.40	9.60	9.40	9.40	8.60	9.40
11N_MCS7_LGI	-64.00	-69.20	-68.90	-69.75	-70.05	-70.30	-70.15	-70.40	-70.35	-70.40	-70.80	-70.60	-70.55	-70.15	-70.45	9.80	8.60	8.60	9.40	8.00	8.20	8.40	8.00	8.20	9.00	6.40	8.20	8.40	8.40
11AX_MCS0_LGI	-82.00	-88.10	-88.35	-88.60	-88.80	-89.40	-88.50	-88.65	-89.40	-89.25	-89.35	-89.50	-89.35	-89.15	-87.75	9.20	9.80	9.60	8.40	8.20	8.40	9.20	8.60	9.60	8.20	9.60	8.80	8.60	8.40
11AX_MCS7_LGI	-64.00	-69.50	-69.85	-69.00	-70.55	-70.90	-70.95	-71.10	-71.15	-71.20	-71.40	-71.35	-71.40	-70.30	-71.10	9.40	8.80	9.80	6.00	7.80	6.60	9.40	9.60	9.20	8.40	9.20	8.20	7.40	8.80
11AX_MCS8_LGI	-59.00	-64.25	-65.55	-64.25	-66.00	-65.80	-66.25	-66.15	-64.95	-66.45	-66.45	-66.60	-66.65	-62.95	-66.15	8.40	9.80	9.60	8.80	5.40	7.00	8.60	9.40	9.20	7.60	9.80	8.80	9.80	5.20
11AX_MCS9_LGI	-57.00	-62.80	-63.00	-62.60	-63.50	-62.55	-63.80	-63.40	-63.90	-63.55	-63.35	-63.40	-63.55	-63.40	-63.75	9.60	9.40	8.80	9.60	9.40	8.20	9.40	8.20	9.20	8.00	8.60	9.80	9.80	7.20
