Waterfall Test
Input [dBm]	11B_1M	11B_11M	11G_6M	11G_54M	11N_MCS0_LGI	11N_MCS7_LGI	11AX_MCS0_LGI	11AX_MCS7_LGI	11AX_MCS8_LGI	11AX_MCS9_LGI

[data]
-100	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-98	99.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-97	64.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-96	15.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-95	2.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-94	0.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-93	0.80	100.00	96.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-92	0.60	100.00	71.00	100.00	96.40	100.00	99.80	100.00	100.00	100.00
-91	0.00	100.00	100.00	100.00	64.20	100.00	91.60	100.00	100.00	100.00
-90	0.40	100.00	20.80	100.00	28.00	100.00	43.20	100.00	100.00	100.00
-89	0.20	100.00	9.20	100.00	9.60	100.00	16.60	100.00	100.00	100.00
-88	0.00	96.60	1.80	100.00	3.00	100.00	6.40	100.00	100.00	100.00
-87	0.00	65.40	2.00	100.00	1.00	100.00	2.40	100.00	100.00	100.00
-86	0.00	33.00	0.80	100.00	0.40	100.00	1.20	100.00	100.00	100.00
-85	0.00	10.80	0.00	100.00	0.00	100.00	0.40	100.00	100.00	100.00
-84	0.00	3.60	0.00	100.00	0.20	100.00	0.00	100.00	100.00	100.00
-83	0.00	2.40	0.00	100.00	0.40	100.00	1.00	100.00	100.00	100.00
-82	0.00	0.40	0.00	100.00	0.20	100.00	0.60	100.00	100.00	100.00
-81	0.00	0.00	0.60	100.00	0.00	100.00	0.80	100.00	100.00	100.00
-80	0.00	0.00	0.00	100.00	0.00	100.00	0.60	100.00	100.00	100.00
-79	0.00	0.00	0.00	100.00	0.20	100.00	0.40	100.00	100.00	100.00
-78	0.00	0.00	0.00	100.00	0.60	100.00	0.20	100.00	100.00	100.00
-77	0.00	0.00	0.00	100.00	0.00	100.00	0.40	100.00	100.00	100.00
-76	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-75	0.00	0.00	0.00	96.00	0.00	100.00	0.00	100.00	100.00	100.00
-74	0.00	0.00	0.00	52.20	0.00	100.00	0.00	100.00	100.00	100.00
-73	0.00	0.00	0.00	13.40	0.00	100.00	0.00	100.00	100.00	100.00
-72	0.00	0.00	0.00	1.80	0.00	99.20	0.00	99.20	100.00	100.00
-71	0.00	0.00	0.00	1.00	0.00	73.20	0.00	57.00	100.00	100.00
-70	0.00	0.00	0.00	1.20	0.00	28.80	0.00	15.40	100.00	100.00
-69	0.00	0.00	0.00	0.00	0.00	4.80	0.00	3.80	100.00	100.00
-68	0.00	0.00	0.00	0.60	0.00	2.00	0.00	0.60	98.40	100.00
-67	0.00	0.00	0.00	0.20	0.00	0.20	0.00	0.00	79.00	100.00
-66	0.00	0.00	0.00	4.20	0.00	0.00	0.00	0.00	47.40	99.80
-65	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	20.80	96.80
-64	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	9.20	76.20
-63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.60	80.20
-62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.40	52.60
-61	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	2.20	37.00
-60	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	2.00	35.00
-59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	31.00
-58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	26.20
-57	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.20	27.00
-56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	23.40
-55	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.80	22.00
-54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	20.40
-53	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.40	21.20
-52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.60
-51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	16.00
-50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	16.40
-49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00
-48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	19.60
-47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	20.80
-46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	17.80
-45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	21.40
-44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	24.60
-43	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	4.60	39.00
-42	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	4.80	46.80
-41	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	3.40	47.00
-40	0.00	0.20	0.20	0.20	0.00	0.00	0.00	0.00	5.60	55.40
-39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.80	36.60
-38	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	1.20	27.00
-37	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	1.40	24.20
-36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	24.80
-35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	24.20
-34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	27.60
-33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	27.40
-32	0.00	0.00	0.00	0.20	0.00	0.20	0.00	0.00	0.40	29.00
-31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	33.80
-30	0.00	0.00	0.20	0.20	0.00	0.00	0.00	0.00	1.00	29.40
-29	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	1.60	28.60
-28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	26.40
-27	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	1.40	30.80
-26	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	1.40	31.00
-25	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	1.40	31.80
-24	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	1.20	31.60
-23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	32.80
-22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	32.20
-21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.20	51.80
-20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	44.80
-19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.60	60.60
-18	0.00	0.00	0.00	0.40	0.00	0.00	0.20	0.00	7.40	65.60
-17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	50.80
-16	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	2.40	33.60
-15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	31.20
-14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	31.60
-13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	29.40
-12	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.80	29.00
-11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	30.20
-10	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.40	27.40
-9	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.40	25.40
-8	0.00	0.00	0.00	0.40	0.00	0.40	0.00	0.00	1.00	26.00
-7	0.00	0.20	0.40	0.00	0.20	0.00	0.00	0.00	0.40	28.40
-6	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	1.00	41.20
-5	0.00	0.00	0.00	0.20	0.00	0.20	0.00	0.00	2.20	54.40
-4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
